fa_id,ecosystem,trophic_position,genus,species,googled_genus,dha,epa,ala,submitted_name,data_source_title,score,matched_name2
3946,Terrestrial,Producer,Armillaria,Armillaria,,NA,NA,NA,NA,NA,NA,NA
3947,Terrestrial,Producer,Leccinum,Leccinum,,NA,NA,0.14,NA,NA,NA,NA
3984,Terrestrial,Producer,Bulrush,Bulrush,,0,0,16.13,NA,NA,NA,NA
3985,Terrestrial,Producer,Cattail,Cattail,,0,0,14.94,NA,NA,NA,NA
3986,Terrestrial,Producer,Chickweed,Chickweed,,0,0,15.05,NA,NA,NA,NA
3987,Terrestrial,Producer,Cow,Cow_parsnip,,0,0,19.15,NA,NA,NA,NA
3988,Terrestrial,Producer,Dock,Dock,,0,0,37.61,NA,NA,NA,NA
3989,Terrestrial,Producer,FALSE,False_solomon_s_seal,,0,0,32.48,NA,NA,NA,NA
3990,Terrestrial,Producer,Fireweed,Fireweed,,0,0,38.1,NA,NA,NA,NA
3991,Terrestrial,Producer,Golden,Golden_rod,,0,0,36.3,NA,NA,NA,NA
3992,Terrestrial,Producer,Goosefoot,Goosefoot,,0,0,34.89,NA,NA,NA,NA
3993,Terrestrial,Producer,Mare,Mare_s_tail,,0,0,9.29,NA,NA,NA,NA
3994,Terrestrial,Producer,Sarsaparilla,Sarsaparilla,,0,0,41.57,NA,NA,NA,NA
3995,Terrestrial,Producer,Stinging,Stinging_nettle,,0,0,30.85,NA,NA,NA,NA
3996,Terrestrial,Producer,Voilet,Voilet,,0,0,31.19,NA,NA,NA,NA
3997,Terrestrial,Producer,Water,Water_hore_hound,,0,0,30.71,NA,NA,NA,NA
3998,Terrestrial,Producer,Arrowgrass,Arrowgrass,,0,0,5.67,NA,NA,NA,NA
3999,Terrestrial,Producer,Bulrush,Bulrush,,0,0,3.16,NA,NA,NA,NA
4000,Terrestrial,Producer,Cattail,Cattail,,0,0,3.11,NA,NA,NA,NA
4001,Terrestrial,Producer,Dock,Dock,,0,0,10.3,NA,NA,NA,NA
4002,Terrestrial,Producer,Goosefoot,Goosefoot,,0,0,16.13,NA,NA,NA,NA
4003,Terrestrial,Producer,Knotweed,Knotweed,,0,0,5.88,NA,NA,NA,NA
4004,Terrestrial,Producer,Marshelder,Marshelder,,0,0,5.13,NA,NA,NA,NA
4005,Terrestrial,Producer,Native,Native_corn,,0,0,1.16,NA,NA,NA,NA
4006,Terrestrial,Producer,Native,Native_squash,,0,0,0.18,NA,NA,NA,NA
4007,Terrestrial,Producer,Native,Native_sunflower,,0,0,0.13,NA,NA,NA,NA
4008,Terrestrial,Producer,Bearberry,Bearberry,,0,0,40.6,NA,NA,NA,NA
4009,Terrestrial,Producer,Blueberry,Blueberry,,0,0,28.76,NA,NA,NA,NA
4010,Terrestrial,Producer,Chokecherry,Chokecherry,,0,0,1.05,NA,NA,NA,NA
4011,Terrestrial,Producer,Gooseberry,Gooseberry,,0,0,22.41,NA,NA,NA,NA
4012,Terrestrial,Producer,Hawthorn,Hawthorn,,0,0,2.13,NA,NA,NA,NA
4013,Terrestrial,Producer,Juniper,Juniper_berry,,0,0,20.66,NA,NA,NA,NA
4014,Terrestrial,Producer,Pincherry,Pincherry,,0,0,0.65,NA,NA,NA,NA
4015,Terrestrial,Producer,Red,Red_osier,,0,0,14.76,NA,NA,NA,NA
4016,Terrestrial,Producer,Rosehips,Rosehips,,0,0,39.33,NA,NA,NA,NA
4017,Terrestrial,Producer,Saskatoon,Saskatoon,,0,0,2.64,NA,NA,NA,NA
4018,Terrestrial,Producer,Silverberry,Silverberry,,0,0,18.38,NA,NA,NA,NA
4019,Terrestrial,Producer,Acorn,Acorn,,0,0,5.79,NA,NA,NA,NA
4020,Terrestrial,Producer,Hazelnut,Hazelnut,,0,0,0.53,NA,NA,NA,NA
4021,Terrestrial,Producer,Vetchling,Vetchling,,0,0,9.54,NA,NA,NA,NA
4022,Terrestrial,Producer,Native,Native_redbean,,0,0,35.35,NA,NA,NA,NA
4023,Terrestrial,Producer,Arrow,Arrow_head,,0,0,13.22,NA,NA,NA,NA
4024,Terrestrial,Producer,Bulrush,Bulrush,,0,0,8.21,NA,NA,NA,NA
4025,Terrestrial,Producer,Burreed,Burreed,,0,0,3.73,NA,NA,NA,NA
4026,Terrestrial,Producer,Cattail,Cattail,,0,0,4.65,NA,NA,NA,NA
4027,Terrestrial,Producer,Cow,Cow_parsnip,,0,0,6.14,NA,NA,NA,NA
4028,Terrestrial,Producer,FALSE,False_solomon_s_seal,,0,0,6.02,NA,NA,NA,NA
4029,Terrestrial,Producer,Fireweed,Fireweed,,0,0,16.7,NA,NA,NA,NA
4030,Terrestrial,Producer,Giant,Giant_reed,,0,0,6.82,NA,NA,NA,NA
4031,Terrestrial,Producer,Jerusalem,Jerusalem_artichoke,,0,0,8.26,NA,NA,NA,NA
4032,Terrestrial,Producer,Ostrich,Ostrich_fern,,0,0,6.5,NA,NA,NA,NA
4033,Terrestrial,Producer,Prairie,Prairie_turnip,,0,0,8.81,NA,NA,NA,NA
4034,Terrestrial,Producer,Sarsaparilla,Sarsaparilla,,0,0,13.68,NA,NA,NA,NA
4035,Terrestrial,Producer,Tiger,Tiger_lily,,0,0,3.08,NA,NA,NA,NA
4036,Terrestrial,Producer,Water,Water_parsnip,,0,0,5.72,NA,NA,NA,NA
4037,Terrestrial,Producer,Water,Water_hore_hound,,0,0,11.25,NA,NA,NA,NA
4038,Terrestrial,Producer,Wild,Wild_calla,,0,0,12.85,NA,NA,NA,NA
4039,Terrestrial,Producer,Wild,Wild_onion,,0,0,5.33,NA,NA,NA,NA
4040,Terrestrial,Producer,Wound,Wound_wort,,0,0,12.17,NA,NA,NA,NA
4097,Terrestrial,Producer,Sciadopitys,Sciadopitys_verticillata,,0,0,23.6,NA,NA,NA,NA
4099,Terrestrial,Producer,Decussocarpus,Decussocarpus_minor,,0,0,31.3,NA,NA,NA,NA
4100,Terrestrial,Producer,Microstrobus,Microstrobus_fitzgeraldi,,0,0,21.9,NA,NA,NA,NA
4105,Terrestrial,Producer,Prumnopitys,Prumnopitys_andina,,0,0,37.1,NA,NA,NA,NA
4106,Terrestrial,Producer,Prumnopitys,Prumnopitys_ferruginea,,0,0,33.5,NA,NA,NA,NA
4107,Terrestrial,Producer,Prumnopitys,Prumnopitys_taxifolia,,0,0,35.3,NA,NA,NA,NA
4127,Terrestrial,Producer,Athrotaxis,Athrotaxis_laxifolia,,0,0,35,NA,NA,NA,NA
4128,Terrestrial,Producer,Taiwania,Taiwania_cryptomeroides,,0,0,38.4,NA,NA,NA,NA
4140,Terrestrial,Producer,Fokienia,Fokienia_hodginsii,,0,0,25.2,NA,NA,NA,NA
4148,Terrestrial,Producer,Thujopsis,Thujopsis_dolabrata,,0,0,29,NA,NA,NA,NA
4149,Terrestrial,Producer,Microbiota,Microbiota_decussata,,0,0,12.7,NA,NA,NA,NA
4151,Terrestrial,Producer,Diselma,Diselma_archeri,,0,0,26,NA,NA,NA,NA
4153,Terrestrial,Producer,Widdringtonia,Widdringtonia_schwarzii,,0,0,33,NA,NA,NA,NA
4200,Terrestrial,Producer,Thuya,Thuya_plicata,,0,0,28.53,NA,NA,NA,NA
4268,Terrestrial,Producer,colonized,colonized_detritus,,NA,3.167748793,10.48251574,NA,NA,NA,NA
